Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
89,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-136,2002,3.8,218,189,29,9,0,43,19,8,17,6,7,1,154,16,48,32,169,8,1,3,160,0,6,11,5,Matches
90,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,29-172,1992,7.7,327,246,81,2,0,32,5,12,0,0,0,0,172,60,95,27,198,19,79,1,239,0,10,22,16,Matches
91,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,26-059,1995,10.9,410,383,27,18,0,71,29,11,7,4,3,0,264,53,93,40,340,21,2,1,309,3,6,11,17,Matches
92,Mattia Aramu\0847b5a5,it ITA,FWMF,Venezia,it Serie A,26-198,1995,7.4,242,200,42,8,0,32,10,16,18,7,8,1,145,37,60,207,22,6,4,2,152,3,5,14,10,Matches
93,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,32-225,1989,5.7,334,324,10,7,1,57,12,1,0,0,0,0,221,55,58,28,283,16,3,2,288,1,3,5,7,Matches
94,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,30-091,1991,10.0,560,548,12,10,0,38,16,1,0,0,0,0,431,45,84,65,447,30,2,1,470,5,13,8,5,Matches
95,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,22-266,1999,6.4,421,403,18,13,1,29,1,1,0,0,0,0,371,16,34,34,368,8,4,1,393,1,2,5,1,Matches
96,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,eng Premier League,20-130,2001,0.3,5,5,0,0,0,1,0,0,0,0,0,0,4,1,0,1,3,0,0,1,5,0,0,0,0,Matches
97,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,es La Liga,22-149,1999,1.9,66,38,28,0,0,6,2,2,0,0,0,0,21,10,35,0,29,7,28,0,45,0,2,2,0,Matches
98,Santiago Arias\fdd60087,co COL,DF,Granada,es La Liga,29-319,1992,2.6,131,98,33,1,0,15,1,6,0,0,0,0,54,38,39,10,74,8,32,2,99,0,1,2,3,Matches
99,Adam Armstrong\68c720b5,eng ENG,FWMF,Southampton,eng Premier League,24-291,1997,10.7,201,181,20,0,1,40,5,16,0,0,0,0,137,35,29,37,144,10,2,2,141,0,2,9,8,Matches
100,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,eng Premier League,29-243,1992,1.4,63,63,0,0,0,12,3,1,0,0,0,0,44,11,8,10,46,4,0,0,41,0,1,8,4,Matches
101,Marko Arnautović\00459419,at AUT,FW,Bologna,it Serie A,32-223,1989,11.8,381,356,25,0,2,122,3,5,0,0,0,0,236,88,57,42,276,29,5,12,286,1,5,18,12,Matches
102,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,27-185,1994,13.0,755,656,99,65,1,82,48,25,30,23,6,0,472,80,203,564,149,23,4,4,608,2,15,18,17,Matches
103,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,27-056,1994,1.0,30,26,4,0,0,6,1,0,0,0,0,0,22,0,8,4,19,0,0,6,28,0,0,0,0,Matches
104,Tolgay Arslan\963a328b,de GER,MF,Udinese,it Serie A,31-104,1990,6.3,254,242,12,10,0,38,4,13,1,0,1,0,196,26,32,28,210,13,1,0,211,0,4,5,8,Matches
105,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,es La Liga,23-207,1998,2.1,44,39,5,1,0,12,2,3,1,1,0,0,12,14,18,29,2,5,3,1,26,1,2,1,3,Matches
106,Takuma Asano\13ddc856,jp JPN,FW,Bochum,de Bundesliga,27-018,1994,6.7,122,120,2,0,1,24,3,9,0,0,0,0,74,22,26,25,82,7,0,2,81,1,2,5,8,Matches
107,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,de Bundesliga,24-276,1997,9.9,484,445,39,34,0,67,15,1,0,0,0,0,352,61,71,89,343,36,5,3,407,2,10,12,15,Matches
108,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,32-153,1989,2.0,53,39,14,0,0,3,0,0,0,0,0,0,40,5,8,9,35,1,0,7,46,1,2,0,0,Matches
109,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,es La Liga,25-311,1996,6.0,272,241,31,6,0,25,12,21,19,10,2,2,202,29,41,233,32,1,6,0,214,1,3,10,9,Matches
110,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,it Serie A,20-323,2001,5.2,136,129,7,6,0,29,1,1,0,0,0,0,68,30,38,25,86,7,1,2,94,2,3,4,8,Matches
111,Fisnik Asllani\35f67a30,xk KVX,FW,Hoffenheim,de Bundesliga,19-112,2002,0.0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,Matches
112,Kristjan Asllani\0fdcef0e,al ALB,MFFW,Empoli,it Serie A,19-264,2002,0.8,34,33,1,1,0,3,0,1,0,0,0,0,28,3,3,12,22,0,0,0,33,0,0,1,0,Matches
113,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,34-119,1987,13.7,526,494,32,10,0,107,25,39,11,2,5,0,369,88,69,358,125,20,10,4,373,2,17,36,25,Matches
114,Lorenz Assignon\b026bbf6,tg TOG,DFMF,Rennes,fr Ligue 1,21-159,2000,1.7,101,85,16,0,0,13,2,3,0,0,0,0,74,18,9,7,75,1,16,0,87,0,3,4,2,Matches
115,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,de Bundesliga,20-307,2001,1.8,94,78,16,0,0,14,0,1,0,0,0,0,45,15,34,3,67,7,16,0,72,0,0,1,7,Matches
116,Youcef Atal\6a827d8e,dz ALG,DF,Nice,fr Ligue 1,25-195,1996,7.9,466,386,80,7,2,49,6,32,3,0,1,0,277,87,102,16,350,17,70,2,361,1,7,18,15,Matches
117,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,eng Premier League,32-163,1989,10.6,186,180,6,0,1,59,3,9,0,0,0,0,107,42,37,26,137,6,0,1,129,1,2,8,10,Matches
118,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,24-314,1997,14.0,466,308,158,47,0,28,7,0,0,0,0,0,189,16,261,45,354,0,0,54,316,5,9,3,0,Matches
119,Tommaso Augello\3cd3b384,it ITA,DF,Sampdoria,it Serie A,27-090,1994,11.6,545,439,106,8,0,61,3,27,4,0,0,0,276,118,151,387,24,21,94,2,417,1,7,16,26,Matches
120,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,es La Liga,27-221,1994,2.8,172,139,33,4,0,10,7,8,6,0,6,0,104,30,38,128,12,5,23,1,141,1,4,2,4,Matches
121,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,es La Liga,28-339,1992,2.7,189,158,31,2,0,29,3,8,0,0,0,0,121,39,29,16,127,11,29,0,150,1,2,6,6,Matches
122,Ezequiel Ávila\253a06b9,ar ARG,FW,Osasuna,es La Liga,27-295,1994,5.7,110,105,5,0,0,29,6,7,1,0,0,0,44,37,29,20,55,21,1,5,68,0,3,6,9,Matches
123,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,de Bundesliga,24-108,1997,9.7,177,174,3,0,2,66,0,3,0,0,0,0,116,39,22,31,113,7,0,10,120,1,4,12,10,Matches
124,Ramzi Aya\6a1f66a7,it ITA,DF,Salernitana,it Serie A,31-118,1990,1.5,28,23,5,1,0,0,0,1,0,0,0,0,14,3,11,2,20,2,4,0,18,0,2,0,0,Matches
125,Jordan Ayew\da052c14,gh GHA,FWMF,Crystal Palace,eng Premier League,30-078,1991,7.9,277,274,3,0,1,50,7,17,0,0,0,0,203,36,38,7,248,11,3,0,221,2,5,6,13,Matches
126,Kaan Ayhan\2200181e,tr TUR,DF,Sassuolo,it Serie A,27-018,1994,3.3,189,176,13,10,0,15,5,1,0,0,0,0,147,14,28,8,168,6,2,1,165,2,3,3,2,Matches
127,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,eng Premier League,30-095,1991,5.0,396,364,32,13,1,54,16,4,0,0,0,0,257,48,91,36,319,15,19,0,338,1,4,11,11,Matches
