Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
84,Joachim Andersen\e34fc66d,dk DEN,DF,Sampdoria,it Serie A,21,1996,7,6,546,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
85,Felipe Anderson\9f1893b9,br BRA,MFFW,Lazio,it Serie A,24,1993,21,9,1162,12.9,4,6,4,0,0,0,0,0.31,0.46,0.77,0.31,0.77,2.1,2.1,4.0,6.1,0.16,0.31,0.47,0.16,0.47,Matches
86,Florin Andone\dc008610,ro ROU,FW,La Coruña,es La Liga,24,1993,29,16,1636,18.2,7,3,7,0,0,6,0,0.39,0.17,0.55,0.39,0.55,9.2,9.2,1.0,10.3,0.51,0.06,0.56,0.51,0.56,Matches
87,Nícolas Andrade\326d09ef,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,36,3240,36.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
88,Benjamin André\ef9c1c95,fr FRA,MF,Rennes,fr Ligue 1,26,1990,34,34,3012,33.5,3,2,3,0,0,11,2,0.09,0.06,0.15,0.09,0.15,3.7,3.7,1.7,5.4,0.11,0.05,0.16,0.11,0.16,Matches
89,Marco Andreolli\13d820de,it ITA,DF,Cagliari,it Serie A,31,1986,23,20,1829,20.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
90,Yoann Andreu\872cd68c,fr FRA,DF,Angers,fr Ligue 1,28,1989,23,23,2070,23.0,1,2,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,0.2,0.2,1.8,2.1,0.01,0.08,0.09,0.01,0.09,Matches
91,Miguel Ángel Guerrero\b35db3f6,es ESP,FW,Leganés,es La Liga,27,1990,22,15,1442,16.0,4,3,4,0,1,3,0,0.25,0.19,0.44,0.25,0.44,5.0,4.2,1.7,5.9,0.31,0.11,0.42,0.26,0.37,Matches
92,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,33,1984,9,9,764,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
93,Miguel Ángel Rubio\56cafd0a,es ESP,DF,Getafe,es La Liga,19,1998,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
