Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
41,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-122,1998,1.7,1,0,0,5,8,0,1,6,5,0,0,0,15,1,1,50.0,Matches
42,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,22-313,1999,9.7,5,0,0,21,5,0,18,14,13,0,1,0,98,18,16,52.9,Matches
43,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-051,1992,1.6,2,0,0,4,5,2,1,0,3,1,0,0,4,3,11,21.4,Matches
44,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,32-252,1989,9.8,3,0,0,14,7,3,47,20,7,0,0,0,72,5,14,26.3,Matches
45,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,29-061,1992,9.9,3,0,0,5,13,0,16,7,9,0,0,0,76,7,4,63.6,Matches
46,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-085,1985,10.0,3,0,0,7,8,2,0,19,6,0,0,0,78,20,12,62.5,Matches
47,Marc Albrighton\b827d5b3,eng ENG,MFFW,Leicester City,eng Premier League,32-010,1989,3.1,1,0,0,5,1,0,6,7,2,0,0,0,17,3,1,75.0,Matches
48,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,28-090,1993,3.8,1,0,0,1,0,4,0,3,1,0,0,0,6,6,6,50.0,Matches
49,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,30-231,1991,3.8,0,0,0,3,2,0,0,5,9,0,0,0,57,11,3,78.6,Matches
50,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,24-337,1996,12.4,9,0,0,21,2,0,1,26,15,0,1,0,120,42,20,67.7,Matches
51,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,es La Liga,26-291,1995,0.8,2,0,0,3,2,2,1,0,3,0,0,0,8,0,2,0.0,Matches
52,Carles Aleñá\6c811eb7,es ESP,MFFW,Getafe,es La Liga,23-327,1998,11.6,4,1,0,22,13,1,14,7,9,0,0,0,62,5,14,26.3,Matches
53,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-052,1998,10.7,1,0,0,4,3,3,43,29,13,0,0,0,92,10,6,62.5,Matches
54,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,17-313,2004,11.2,2,0,0,15,26,9,16,7,6,0,0,0,44,6,35,14.6,Matches
55,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-057,1992,12.0,0,0,0,0,0,0,0,0,0,0,0,1,84,0,0,,Matches
