Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
83,Jon Ander Serantes\983ccabe,es ESP,GK,Leganés,es La Liga,27,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Joachim Andersen\e34fc66d,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,4,0.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Felipe Anderson\9f1893b9,br BRA,MFFW,Lazio,it Serie A,24,1993,12.9,69,5.35,47,10,10,2,0,0,13,1.01,11,1,1,0,0,0,Matches
86,Florin Andone\dc008610,ro ROU,FW,La Coruña,es La Liga,24,1993,18.2,22,1.21,15,0,0,5,2,0,5,0.28,3,0,0,1,1,0,Matches
87,Nícolas Andrade\326d09ef,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,7,0.19,4,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
88,Benjamin André\ef9c1c95,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,67,2.00,61,0,2,2,1,1,6,0.18,6,0,0,0,0,0,Matches
89,Marco Andreolli\13d820de,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Yoann Andreu\872cd68c,fr FRA,DF,Angers,fr Ligue 1,28,1989,23.0,38,1.65,30,3,2,0,1,2,4,0.17,3,0,0,0,1,0,Matches
91,Miguel Ángel Guerrero\b35db3f6,es ESP,FW,Leganés,es La Liga,27,1990,16.0,26,1.62,19,0,2,4,1,0,6,0.37,3,0,0,2,1,0,Matches
92,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Miguel Ángel Rubio\56cafd0a,es ESP,DF,Getafe,es La Liga,19,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,José Ángel\3024e383,es ESP,DF,Eibar,es La Liga,27,1989,27.0,64,2.37,32,22,4,2,2,2,11,0.41,5,4,1,1,0,0,Matches
95,Gabriele Angella\0c971997,it ITA,DF,Udinese,it Serie A,28,1989,9.9,11,1.11,9,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
96,Cristian Ansaldi\bbafc0c4,ar ARG,DFMF,Torino,it Serie A,30,1986,20.8,51,2.45,30,1,10,3,4,3,7,0.34,5,0,0,1,1,0,Matches
97,Luca Antei\97c9bce3,it ITA,DF,Benevento,it Serie A,25,1992,6.6,2,0.31,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Mirco Antenucci\43a2e16c,it ITA,FW,SPAL,it Serie A,32,1984,28.6,66,2.31,45,0,5,7,8,1,11,0.38,7,0,0,3,1,0,Matches
99,Waldemar Anton\5e66fa06,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,25.3,11,0.43,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Luca Antonelli\40f0ed6c,it ITA,DFMF,Milan,it Serie A,30,1987,1.6,1,0.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Michail Antonio\ac05f970,jm JAM,FWMF,West Ham,eng Premier League,27,1990,15.0,31,2.06,18,1,4,1,7,0,5,0.33,1,0,2,1,1,0,Matches
